Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A81-B38,A81,B38,1,False,0.81,0.0933,-0.0241,0.86,0.7632,0.8589,0.0323,0.0111,0.0047,data-pinned
A23-B70,A23,B70,1,False,0.81,0.0933,-0.0241,0.86,0.7632,0.8635,0.0356,0.0111,0.0047,data-pinned
A23-B72,A23,B72,1,False,0.81,0.0933,-0.0241,0.86,0.7607,0.8697,0.036,0.0111,0.0047,data-pinned
A153-B7,A153,B7,1,False,0.81,0.0933,-0.0241,0.86,0.764,0.8793,0.036,0.0111,0.0047,data-pinned
A152-B78,A152,B78,1,False,0.81,0.0933,-0.0241,0.86,0.763,0.8698,0.0337,0.0111,0.0047,data-pinned
A140-B1,A140,B1,1,False,0.81,0.0933,-0.0241,0.86,0.7597,0.8667,0.0326,0.0111,0.0047,data-pinned
A178-B79,A178,B79,1,False,0.81,0.0933,-0.0241,0.86,0.7592,0.8543,0.0342,0.0111,0.0047,data-pinned
A153-B142,A153,B142,1,False,0.8098,0.0932,-0.0243,0.86,0.7602,0.8649,0.0353,0.0121,0.0049,data-pinned
A159-B55,A159,B55,1,False,0.8098,0.0932,-0.0243,0.86,0.7621,0.8776,0.0328,0.0121,0.0049,data-pinned
A159-B68,A159,B68,1,False,0.8098,0.0932,-0.0243,0.86,0.7595,0.8667,0.0337,0.0121,0.0049,data-pinned
A147-B8,A147,B8,1,False,0.8098,0.0932,-0.0243,0.86,0.7633,0.8757,0.0372,0.0121,0.0049,data-pinned
A176-B68,A176,B68,1,False,0.8098,0.0932,-0.0243,0.86,0.7605,0.8751,0.0331,0.0121,0.0049,data-pinned
A176-B117,A176,B117,1,False,0.8098,0.0932,-0.0243,0.86,0.7598,0.866,0.0337,0.0121,0.0049,data-pinned
A132-B171,A132,B171,1,False,0.8098,0.0932,-0.0243,0.86,0.7603,0.861,0.0327,0.0121,0.0049,data-pinned
A154-B138,A154,B138,1,False,0.8098,0.0932,-0.0243,0.86,0.761,0.8725,0.0383,0.0121,0.0049,data-pinned
A128-B23,A128,B23,1,False,0.8098,0.0932,-0.0243,0.86,0.761,0.863,0.0339,0.0121,0.0049,data-pinned
A1-B75,A1,B75,1,False,0.8098,0.0932,-0.0243,0.86,0.7648,0.8763,0.0348,0.0121,0.0049,data-pinned
A153-B150,A153,B150,1,False,0.8098,0.0932,-0.0243,0.86,0.7605,0.8577,0.0336,0.0121,0.0049,data-pinned
A136-B49,A136,B49,1,False,0.8098,0.0932,-0.0243,0.86,0.7597,0.8778,0.0364,0.0121,0.0049,data-pinned
A63-B91,A63,B91,1,False,0.8098,0.0932,-0.0243,0.86,0.7621,0.8696,0.0333,0.0121,0.0049,data-pinned
A60-B151,A60,B151,1,False,0.8098,0.0932,-0.0243,0.86,0.7624,0.8603,0.0317,0.0121,0.0049,data-pinned
A50-B38,A50,B38,1,False,0.8098,0.0932,-0.0243,0.86,0.7647,0.8753,0.0362,0.0121,0.0049,data-pinned
A96-B177,A96,B177,1,False,0.8098,0.0932,-0.0243,0.86,0.7593,0.8762,0.0372,0.0121,0.0049,data-pinned
