Candidate,verA,verB,r_counts_only_per_h,se_counts_only,r_joint_per_h,se_joint,r_ampl_only,se_ampl_only,evidence_tier,in_B4,dr_joint_minus_counts,se_ratio_counts_over_joint
A196-B164,A196,B164,0.3539,0.026,0.3472,0.026,,,WGS-only,False,-0.0067,1.0
A63-B79,A63,B79,0.2202,0.0355,0.2209,0.0355,,,WGS-only,False,0.0007,1.0
A81-B123,A81,B123,0.2236,0.0315,0.2263,0.0315,,,WGS-only,False,0.0027,1.0
A176-B103,A176,B103,0.2401,0.0544,0.2404,0.0544,,,WGS-only,False,0.0003,1.0
A186-B70,A186,B70,0.1581,0.0595,0.1582,0.0596,,,WGS-only,False,0.0001,0.998
A186-B84,A186,B84,0.2078,0.0541,0.208,0.0542,,,WGS-only,False,0.0002,0.998
A90-B52,A90,B52,0.1972,0.0628,0.1972,0.0629,,,WGS-only,False,0.0,0.998
A20-B13,A20,B13,0.1972,0.0628,0.1972,0.0629,,,WGS-only,False,0.0,0.998
A78-B59,A78,B59,0.3277,0.0453,0.3301,0.0454,,,WGS-only,False,0.0024,0.998
A16-B140,A16,B140,0.2591,0.0359,0.2595,0.036,,,WGS-only,False,0.0004,0.997
A90-B99,A90,B99,0.2284,0.0721,0.2298,0.0723,,,WGS-only,False,0.0014,0.997
A152-B102,A152,B102,0.2206,0.0702,0.2228,0.0704,,,WGS-only,False,0.0022,0.997
A152-B47,A152,B47,0.24,0.0366,0.2404,0.0367,,,WGS-only,False,0.0004,0.997
A63-B103,A63,B103,0.2279,0.0653,0.2278,0.0655,,,WGS-only,False,-0.0001,0.997
A186-B63,A186,B63,0.2279,0.0653,0.2278,0.0655,,,WGS-only,False,-0.0001,0.997
A186-B62,A186,B62,0.2873,0.0346,0.2878,0.0347,,,WGS-only,False,0.0005,0.997
A20-B157,A20,B157,0.198,0.0677,0.2002,0.0679,,,WGS-only,False,0.0022,0.997
A196-B40,A196,B40,0.2873,0.0346,0.2878,0.0347,,,WGS-only,False,0.0005,0.997
A20-B165,A20,B165,0.2004,0.0535,0.2027,0.0537,,,WGS-only,False,0.0023,0.996
A96-B84,A96,B84,0.2864,0.0832,0.2873,0.0835,,,WGS-only,False,0.0009,0.996
A153-B171,A153,B171,0.2864,0.0832,0.2873,0.0835,,,WGS-only,False,0.0009,0.996
A90-B61,A90,B61,0.2864,0.0832,0.2873,0.0835,,,WGS-only,False,0.0009,0.996
A186-B74,A186,B74,0.2864,0.0832,0.2873,0.0835,,,WGS-only,False,0.0009,0.996
A91-B101,A91,B101,0.251,0.0743,0.2531,0.0746,,,WGS-only,False,0.0021,0.996
A20-B144,A20,B144,0.251,0.0743,0.2531,0.0746,,,WGS-only,False,0.0021,0.996
A78-B158,A78,B158,0.251,0.0743,0.2531,0.0746,,,WGS-only,False,0.0021,0.996
A176-B34,A176,B34,0.2864,0.0832,0.2873,0.0835,,,WGS-only,False,0.0009,0.996
A186-B151,A186,B151,0.2864,0.0832,0.2873,0.0835,,,WGS-only,False,0.0009,0.996
A66-B30,A66,B30,0.2864,0.0832,0.2873,0.0835,,,WGS-only,False,0.0009,0.996
A81-B59,A81,B59,0.2864,0.0832,0.2873,0.0835,,,WGS-only,False,0.0009,0.996
A160-B27,A160,B27,0.251,0.0743,0.2531,0.0746,,,WGS-only,False,0.0021,0.996
A65-B161,A65,B161,0.251,0.0743,0.2531,0.0746,,,WGS-only,False,0.0021,0.996
A176-B27,A176,B27,0.2477,0.0435,0.2504,0.0437,,,WGS-only,False,0.0027,0.995
A90-B136,A90,B136,0.2659,0.0631,0.2684,0.0634,,,WGS-only,False,0.0025,0.995
A185-B30,A185,B30,0.3409,0.0752,0.3422,0.0756,,,WGS-only,False,0.0013,0.995
A90-B38,A90,B38,0.2599,0.0512,0.2601,0.0515,,,WGS-only,False,0.0002,0.994
A63-B171,A63,B171,0.2724,0.0505,0.2751,0.0508,,,WGS-only,False,0.0027,0.994
A176-B138,A176,B138,0.2599,0.0512,0.2601,0.0515,,,WGS-only,False,0.0002,0.994
A186-B145,A186,B145,0.2599,0.0512,0.2601,0.0515,,,WGS-only,False,0.0002,0.994
A186-B2,A186,B2,0.2751,0.0433,0.278,0.0436,,,WGS-only,False,0.0029,0.993
A81-B26,A81,B26,0.337,0.0122,0.342,0.0123,,,WGS-only,False,0.005,0.992
A143-B151,A143,B151,0.2919,0.0503,0.2949,0.0508,,,WGS-only,False,0.003,0.99
A83-B26,A83,B26,0.4019,0.0495,0.4042,0.05,,,WGS-only,False,0.0023,0.99
A159-B128,A159,B128,0.2945,0.056,0.2974,0.0566,,,WGS-only,False,0.0029,0.989
A81-B103,A81,B103,0.299,0.0647,0.3018,0.0655,,,WGS-only,False,0.0028,0.988
A20-B75,A20,B75,0.299,0.0647,0.3018,0.0655,,,WGS-only,False,0.0028,0.988
A78-B122,A78,B122,0.326,0.0157,0.3306,0.0159,,,WGS-only,False,0.0046,0.987
A63-B147,A63,B147,0.25,0.0532,0.2415,0.0539,0.2726,0.0703,both-deep,True,-0.0085,0.987
A186-B126,A186,B126,0.3473,0.0298,0.3523,0.0303,,,WGS-only,False,0.005,0.983
A153-B127,A153,B127,0.3417,0.0415,0.3462,0.0425,,,WGS-only,False,0.0045,0.976
A90-B59,A90,B59,0.2611,0.0372,0.2282,0.0389,0.2158,0.0564,both-deep,True,-0.0329,0.956
A162-B137,A162,B137,0.2813,0.0404,0.269,0.0423,0.2726,0.0703,both-deep,True,-0.0123,0.955
A96-B47,A96,B47,0.2965,0.0596,0.3112,0.0693,,,WGS-only,False,0.0147,0.86
A159-B49,A159,B49,0.3074,0.0262,0.2868,0.0316,0.2296,0.0642,both-deep,True,-0.0206,0.829
