Candidate,verA,verB,r_joint_per_h,se_joint,se_wgs_only,se_ampl_only,se_reduction_ratio,ESS_fold_vs_wgs,r_wgs_only,r_ampl_only,evidence_tier,in_B4,se_heterogeneity_loso,r_sensitivity_to_b_amp,se_combined
A63-B122,A63,B122,0.3096,0.0265,0.027,,1.016,1.03,0.3163,,WGS-only,False,0.0027,0.0027,0.0266
A83-B40,A83,B40,0.3445,0.0059,0.006,,1.016,1.03,0.3428,,WGS-only,False,0.0207,0.006,0.0215
A83-B42,A83,B42,0.4527,0.0099,0.01,,1.016,1.03,0.4497,,WGS-only,False,0.012,0.02,0.0156
A90-B102,A90,B102,0.2948,0.0595,0.0605,,1.016,1.03,0.2955,,WGS-only,False,0.0019,0.0016,0.0595
A90-B123,A90,B123,0.3265,0.0194,0.0197,,1.016,1.03,0.3284,,WGS-only,False,0.0073,0.0024,0.0207
A185-B26,A185,B26,0.3397,0.0097,0.0098,,1.016,1.03,0.3402,,WGS-only,False,0.0049,0.004,0.0109
A153-B137,A153,B137,0.3047,0.0096,0.0097,,1.016,1.03,0.3053,,WGS-only,False,0.0049,0.0214,0.0108
A20-B11,A20,B11,0.246,0.0769,,0.0782,1.016,,,0.2523,amplicon-B4-only,True,0.0014,0.0026,0.0769
A90-B3,A90,B3,0.3149,0.01,0.0102,,1.016,1.03,0.3143,,WGS-only,False,0.0244,0.0111,0.0264
A78-B30,A78,B30,0.3805,0.0062,0.0063,,1.015,1.03,0.3749,,WGS-only,False,0.0413,0.0044,0.0418
A176-B6,A176,B6,0.2727,0.0461,0.0468,,1.015,1.03,0.2727,,WGS-only,False,0.003,0.0392,0.0462
A81-B41,A81,B41,0.2799,0.0347,0.0352,,1.015,1.03,0.2806,,WGS-only,False,0.0124,0.0183,0.0368
A196-B152,A196,B152,0.2327,0.0544,0.0551,,1.014,1.03,0.2368,,WGS-only,False,0.0019,0.0594,0.0544
A196-B145,A196,B145,0.3143,0.0162,0.0164,,1.014,1.03,0.3147,,WGS-only,False,0.0033,0.0194,0.0165
A186-B147,A186,B147,0.2377,0.048,0.0487,,1.014,1.03,0.2424,,WGS-only,False,0.0021,0.0588,0.048
A83-B120,A83,B120,0.3063,0.0342,0.0346,,1.014,1.03,0.3064,,WGS-only,False,0.0029,0.0064,0.0343
A81-B117,A81,B117,0.3246,0.0127,0.0129,,1.014,1.03,0.3315,,WGS-only,False,0.0172,0.01,0.0214
A78-B159,A78,B159,0.3119,0.0218,0.0221,,1.014,1.03,0.3189,,WGS-only,False,0.0028,0.0083,0.022
A78-B75,A78,B75,0.2499,0.0211,0.0214,,1.013,1.03,0.2483,,WGS-only,False,0.0097,0.0544,0.0232
A16-B3,A16,B3,0.2197,0.0641,0.065,,1.013,1.03,0.2228,,WGS-only,False,0.0016,0.0484,0.0641
A186-B13,A186,B13,0.2197,0.0641,0.065,,1.013,1.03,0.2228,,WGS-only,False,0.0016,0.0484,0.0641
A83-B18,A83,B18,0.271,0.0502,0.0509,,1.013,1.03,0.2709,,WGS-only,False,0.0027,0.0305,0.0503
A153-B117,A153,B117,0.271,0.0502,0.0509,,1.013,1.03,0.2709,,WGS-only,False,0.0027,0.0305,0.0503
A159-B69,A159,B69,0.2197,0.0641,0.065,,1.013,1.03,0.2228,,WGS-only,False,0.0016,0.0484,0.0641
A196-B103,A196,B103,0.2622,0.0411,0.0416,,1.013,1.03,0.2619,,WGS-only,False,0.003,0.053,0.0412
A78-B79,A78,B79,0.4241,0.0073,0.0074,,1.012,1.02,0.4184,,WGS-only,False,0.0518,0.0204,0.0523
A196-B174,A196,B174,0.2467,0.0336,0.034,,1.012,1.02,0.2461,,WGS-only,False,0.0031,0.0638,0.0337
A90-B117,A90,B117,0.1998,0.062,0.0628,,1.012,1.02,0.2031,,WGS-only,False,0.0017,0.0615,0.062
A16-B4,A16,B4,0.1842,0.0606,0.0614,,1.012,1.02,0.1876,,WGS-only,False,0.0017,0.0717,0.0606
A16-B51,A16,B51,0.2435,0.0395,0.04,,1.011,1.02,0.2428,,WGS-only,False,0.0028,0.0727,0.0396
A196-B70,A196,B70,0.2573,0.0442,0.0447,,1.011,1.02,0.257,,WGS-only,False,0.0028,0.055,0.0443
A196-B38,A196,B38,0.2783,0.0098,0.0099,,1.011,1.02,0.2775,,WGS-only,False,0.006,0.0378,0.0115
A16-B117,A16,B117,0.2439,0.0248,0.025,,1.01,1.02,0.2462,,WGS-only,False,0.0248,0.0416,0.0351
A96-B26,A96,B26,0.336,0.0121,0.0122,,1.01,1.02,0.3394,,WGS-only,False,0.0112,0.0096,0.0165
A81-B165,A81,B165,0.2046,0.0605,0.0611,,1.009,1.02,0.2069,,WGS-only,False,0.0138,0.0531,0.0621
A176-B151,A176,B151,0.2204,0.0501,0.0506,,1.009,1.02,0.2171,,WGS-only,False,0.0026,0.0739,0.0502
A81-B137,A81,B137,0.307,0.0138,0.0139,0.0814,1.009,1.02,0.3144,0.2663,both-deep,True,0.009,0.0083,0.0165
A20-B6,A20,B6,0.2648,0.0106,0.0107,,1.009,1.02,0.264,,WGS-only,False,0.006,0.044,0.0122
A143-B6,A143,B6,0.232,0.0484,0.0488,,1.008,1.02,0.2294,,WGS-only,False,0.0139,0.0464,0.0504
A152-B171,A152,B171,0.2642,0.0632,0.0637,,1.008,1.02,0.2639,,WGS-only,False,0.0019,0.0356,0.0632
A81-B100,A81,B100,0.2242,0.0379,0.0382,,1.008,1.02,0.2219,,WGS-only,False,0.0024,0.0888,0.038
A196-B98,A196,B98,0.2171,0.047,0.0473,,1.008,1.02,0.2161,,WGS-only,False,0.0023,0.076,0.0471
A196-B119,A196,B119,0.2752,0.0119,0.012,,1.008,1.02,0.2744,,WGS-only,False,0.0086,0.0385,0.0147
A196-B84,A196,B84,0.2528,0.0113,0.0114,,1.008,1.02,0.2521,,WGS-only,False,0.006,0.0481,0.0128
A78-B47,A78,B47,0.3035,0.0245,0.0247,,1.007,1.01,0.308,,WGS-only,False,0.0059,0.003,0.0252
A152-B154,A152,B154,0.2833,0.0166,0.0167,,1.007,1.01,0.2838,,WGS-only,False,0.0265,0.0308,0.0313
