Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
B4_M_bcfr,4MXB,bcfr,A81-B3,A81,B3,2,"3,13",8,0.3497,0.1159,0.1159,,0.0341,0.0341,0.00439,0.00439,constant,constant,none,False,,,,0.5787,0.5787,,2.13125,,0.1159,0.00128,0.00079,True
B4_M_bcfr,4MXB,bcfr,A81-B40,A81,B40,2,"3,4",20,1.3894,-0.1261,-0.1261,,-0.0306,-0.0306,-0.00478,-0.00478,constant,constant,none,False,,,,0.3613,0.3613,,1.38659,,-0.1261,0.00257,0.0,True
B4_M_bcfr,4MXB,bcfr,A81-B42,A81,B42,2,"3,4",7,0.4179,-0.0548,-0.0548,,-0.0128,-0.0128,-0.00208,-0.00208,constant,constant,none,False,,,,0.1262,0.1262,,0.91392,,-0.0548,0.00077,0.0,True
B4_M_bcfr,4MXB,bcfr,A81-B51,A81,B51,2,"3,4",7,0.5094,-0.1164,-0.1164,,-0.0373,-0.0373,-0.00441,-0.00441,constant,constant,none,False,,,,0.3393,0.3393,,1.22723,,-0.1164,0.00154,0.0,True
B4_M_bcfr,4MXB,bcfr,A81-B65,A81,B65,2,"3,4",9,0.6182,-0.0898,-0.0898,,-0.0249,-0.0249,-0.0034,-0.0034,constant,constant,none,False,,,,0.6955,0.6955,,0.16194,,-0.0898,0.00128,0.0,True
B4_M_bcfr,4MXB,bcfr,A81-B75,A81,B75,2,"3,4",31,1.8144,-0.1662,-0.1662,,-0.0415,-0.0415,-0.00629,-0.00629,constant,constant,none,False,,,,0.5779,0.5779,,1.0649,,-0.1662,0.00437,0.0,True
B4_M_bcfr,4MXB,bcfr,A81-B8,A81,B8,3,"3,4,13",4995,6.014,0.2121,0.2121,,0.0647,0.0647,0.00803,0.00803,constant,constant,none,False,,,,0.9697,0.9697,,156.12143,,0.2121,0.25937,0.665,True
B4_M_bcfr,4MXB,bcfr,A81-B84,A81,B84,2,"3,4",34,1.9051,-0.1576,-0.1576,,-0.0373,-0.0373,-0.00597,-0.00597,constant,constant,none,False,,,,0.4398,0.4398,,1.69158,,-0.1576,0.00462,0.0,True
B4_M_bcfr,4MXB,bcfr,A83-B50,A83,B50,2,"3,4",13,1.0289,-0.1741,-0.1741,,-0.0542,-0.0542,-0.0066,-0.0066,constant,constant,none,False,,,,0.6244,0.6244,,0.88512,,-0.1741,0.00257,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B119,A90,B119,2,"3,4",10,0.8948,-0.165,-0.165,,-0.0526,-0.0526,-0.00625,-0.00625,constant,constant,none,False,,,,0.3592,0.3592,,2.32387,,-0.165,0.00231,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B120,A90,B120,2,"3,4",48,2.251,-0.2069,-0.2069,,-0.0519,-0.0519,-0.00784,-0.00784,constant,constant,none,False,,,,0.7437,0.7437,,0.84655,,-0.2069,0.00719,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B145,A90,B145,2,"3,4",27,1.7322,-0.2578,-0.2578,,-0.0779,-0.0779,-0.00977,-0.00977,constant,constant,none,False,,,,0.7891,0.7891,,0.92405,,-0.2578,0.00514,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B151,A90,B151,3,"3,4,13",59,2.4161,-0.1357,-0.1357,,-0.0352,-0.0352,-0.00514,-0.00514,constant,constant,none,False,,,,0.5632,0.5632,,2.10805,,-0.1357,0.00796,0.00026,True
B4_M_bcfr,4MXB,bcfr,A90-B154,A90,B154,2,"3,4",4,-0.0628,-0.0442,-0.0442,,-0.0143,-0.0143,-0.00167,-0.00167,constant,constant,none,False,,,,0.2878,0.2878,,0.21152,,-0.0442,0.00077,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B155,A90,B155,2,"3,4",24,1.648,-0.2621,-0.2621,,-0.0811,-0.0811,-0.00993,-0.00993,constant,constant,none,False,,,,0.6443,0.6443,,1.941,,-0.2621,0.00488,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B18,A90,B18,2,"3,4",4,0.0429,-0.0175,-0.0175,,-0.0014,-0.0014,-0.00066,-0.00066,constant,constant,none,False,,,,0.0076,0.0076,,1.61639,,-0.0175,0.00026,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B47,A90,B47,2,"3,4",5,0.1298,-0.0313,-0.0313,,-0.0064,-0.0064,-0.00119,-0.00119,constant,constant,none,False,,,,0.0494,0.0494,,0.79927,,-0.0313,0.00051,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B59,A90,B59,2,"3,4",4,-0.0628,-0.0442,-0.0442,,-0.0143,-0.0143,-0.00167,-0.00167,constant,constant,none,False,,,,0.2878,0.2878,,0.21152,,-0.0442,0.00077,0.0,True
B4_M_bcfr,4MXB,bcfr,A90-B84,A90,B84,2,"3,4",3,-0.2662,0.0031,0.0031,,0.0034,0.0034,0.00012,0.00012,constant,constant,none,False,,,,0.0005,0.0005,,0.72231,,0.0031,0.00026,0.0,True
B4_M_bcfr,4MXB,bcfr,A93-B8,A93,B8,2,"4,13",3,-0.9818,0.2203,0.2203,,0.068,0.068,0.00834,0.00834,constant,constant,none,False,,,,0.8892,0.8892,,0.57704,,0.2203,0.0,0.00053,True
B4_M_bcfr,4MXB,bcfr,A96-B140,A96,B140,2,"3,4",5,0.1298,-0.0313,-0.0313,,-0.0064,-0.0064,-0.00119,-0.00119,constant,constant,none,False,,,,0.0494,0.0494,,0.79927,,-0.0313,0.00051,0.0,True
B4_M_bcfr,4MXB,bcfr,A96-B75,A96,B75,2,"3,4",5,0.0884,-0.0475,-0.0475,,-0.0139,-0.0139,-0.0018,-0.0018,constant,constant,none,False,,,,0.9291,0.9291,,0.00755,,-0.0475,0.00077,0.0,True
B4_M_bcfr,4MXB,bcfr,A96-B79,A96,B79,2,"3,4",6,0.26,-0.072,-0.072,,-0.022,-0.022,-0.00273,-0.00273,constant,constant,none,False,,,,0.852,0.852,,0.04058,,-0.072,0.00103,0.0,True
