Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B27,A196,B27,3,"3,4,6",486,4.5615,-0.2453,-0.2453,,-0.0605,-0.0605,-0.00929,-0.00929,constant,constant,none,False,,,,0.3073,0.3073,,24.39084,,-0.2453,0.02971,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B30,A196,B30,2,"3,4",80,2.7648,-0.1947,-0.1947,,-0.0494,-0.0494,-0.00737,-0.00737,constant,constant,none,False,,,,0.2478,0.2478,,7.85848,,-0.1947,0.00436,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B59,A196,B59,4,"3,4,6,13",642,4.8073,-0.1233,-0.1233,,-0.0269,-0.0269,-0.00467,-0.00467,constant,constant,decelerating,True,,,,0.0698,0.0698,,81.9675,,-0.1233,0.03262,0.0002,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B6,A196,B6,2,"3,4",9,0.7159,-0.0849,-0.0849,,-0.0225,-0.0225,-0.00321,-0.00321,constant,constant,none,False,,,,0.103,0.103,,2.86311,,-0.0849,0.00031,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B75,A196,B75,2,"3,4",9,0.6481,-0.0936,-0.0936,,-0.0258,-0.0258,-0.00355,-0.00355,constant,constant,none,False,,,,0.2493,0.2493,,1.23833,,-0.0936,0.00042,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B8,A196,B8,2,"3,4",49,2.2897,-0.1456,-0.1456,,-0.0357,-0.0357,-0.00552,-0.00552,constant,constant,none,False,,,,0.1209,0.1209,,9.15207,,-0.1456,0.00229,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B85,A196,B85,2,"3,4",5,0.1688,-0.0836,-0.0836,,-0.0248,-0.0248,-0.00317,-0.00317,constant,constant,none,False,,,,0.3947,0.3947,,0.50277,,-0.0836,0.00042,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B86,A196,B86,2,"3,4",3,-0.2933,-0.0176,-0.0176,,-0.0051,-0.0051,-0.00067,-0.00067,constant,constant,none,False,,,,0.2852,0.2852,,0.03364,,-0.0176,0.00021,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B87,A196,B87,4,"3,4,6,13",1385,5.5953,-0.2118,-0.2118,,-0.0546,-0.0546,-0.00802,-0.00802,constant,constant,decelerating,True,,,,0.3061,0.3061,,118.63136,,-0.2118,0.07626,0.00078,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B91,A196,B91,2,"3,4",5,0.1006,-0.0592,-0.0592,,-0.017,-0.017,-0.00224,-0.00224,constant,constant,none,False,,,,0.9152,0.9152,,0.01476,,-0.0592,0.00031,0.0,True
