Sample,Candidate,verA,verB,n_obs_timepoints,s_constant_per_cycle,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,deployed_model,r2_1var,r2_4var_capability,r2_4var_deployed,wrss_1var,wrss_4var_capability,bic_1var,bic_4var_capability,bic_4var_increasing,bic_prefers_4var_capability,bic_prefers_4var_increasing,loocv_rmse_1var_free,loocv_rmse_4var_free,loocv_folds_free,loocv_rmse_1var_fixedelbow,loocv_rmse_4var_fixedelbow,loocv_folds_fixedelbow,oos_4var_better_free,abs_phase_range
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A78-B3,A78,B3,4,0.0285,2.1364,-0.3137,0.1512,6.0,two_phase,0.1353,0.9893,0.9893,5.32444,0.06605,3.917,-12.255,-12.255,True,True,1.707,1.4888,4,0.5964,0.1639,3,True,0.4649
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B151,A81,B151,4,0.3312,1.2802,-0.2161,0.5103,6.0,two_phase,0.9596,0.9995,0.9995,5.27672,0.07071,3.881,-11.983,-11.983,True,True,2.6703,2.8504,4,0.9432,0.2727,3,False,0.7264
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,A81-B132,A81,B132,4,0.0301,4.2237,-0.7667,0.3558,6.0,two_phase,0.0889,0.9853,0.9853,48.9976,0.79203,12.794,-2.319,-2.319,True,True,4.1908,5.234,4,1.6842,0.4395,3,False,1.1225
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B3,A78,B3,4,0.3963,0.0973,0.1487,0.4626,6.0,two_phase,0.9906,0.9998,0.9998,0.74487,0.01249,-3.951,-18.918,-18.918,True,True,1.1693,0.9835,4,0.4623,0.1781,3,True,0.3139
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A81-B51,A81,B51,4,0.2033,2.0284,-0.2454,0.3469,6.0,two_phase,0.8979,0.9957,0.9957,9.97883,0.41879,6.429,-4.868,-4.868,True,True,2.1879,1.6912,4,0.8079,0.4263,3,True,0.5923
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A83-B40,A83,B40,4,0.557,0.0425,-0.0452,0.7189,6.0,two_phase,0.9783,0.9985,0.9985,2.80604,0.18857,1.355,-8.059,-8.059,True,True,2.8119,3.3356,4,1.0027,0.7702,3,False,0.7641
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,A153-B6,A153,B6,4,0.2036,1.677,-0.4722,0.4434,6.0,two_phase,0.8016,0.9848,0.9848,9.1852,0.7021,6.098,-2.801,-2.801,True,True,3.4307,2.2135,4,1.4141,1.0396,3,True,0.9156
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A81-B26,A81,B26,4,-0.0136,1.6259,-0.3167,0.0112,4.0,two_phase,0.084,0.9263,0.9263,0.56108,0.04514,-5.084,-13.779,-13.779,True,True,0.3387,0.5371,4,0.3422,0.2825,3,False,0.3279
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,A185-B26,A185,B26,4,0.1459,0.558,-0.881,0.2112,4.0,two_phase,0.7778,0.9759,0.9759,2.05006,0.22204,0.099,-7.406,-7.406,True,True,2.0836,1.3004,4,2.3218,1.245,3,True,1.0922
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,A20-B6,A20,B6,4,-0.0783,2.4852,-0.7116,-0.0057,4.0,two_phase,0.352,0.9194,0.9194,4.47659,0.5566,3.223,-3.73,-3.73,True,True,0.747,0.8501,4,0.7602,0.7946,3,False,0.7059
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,A78-B26,A78,B26,4,0.2614,1.1981,-0.0112,0.3412,6.0,two_phase,0.9693,0.9957,0.9957,1.59862,0.22217,-0.896,-7.404,-7.404,True,True,1.2999,1.7181,4,0.4739,0.5079,3,False,0.3524
