Sample,assay,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A78,B75,A78-B75,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A81,B145,A81-B145,5,132,0.0378787878787878
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A81,B2,A81-B2,3,132,0.0227272727272727
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A81,B87,A81-B87,3,132,0.0227272727272727
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A83,B40,A83-B40,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A90,B155,A90-B155,1,132,0.0075757575757575
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A90,B26,A90-B26,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A90,B52,A90-B52,2,132,0.0151515151515151
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,3,A96,B79,A96-B79,6,132,0.0454545454545454
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A143,B13,A143-B13,2,195,0.0102564102564102
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A143,B137,A143-B137,5,195,0.0256410256410256
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A152,B47,A152-B47,2,195,0.0102564102564102
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A153,B26,A153-B26,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A16,B117,A16-B117,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A16,B140,A16-B140,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A16,B145,A16-B145,8,195,0.041025641025641
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A176,B103,A176-B103,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A176,B138,A176-B138,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A186,B117,A186-B117,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A186,B145,A186-B145,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A186,B84,A186-B84,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A196,B119,A196-B119,7,195,0.0358974358974358
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A196,B15,A196-B15,9,195,0.0461538461538461
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A196,B151,A196-B151,39,195,0.2
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A196,B38,A196-B38,13,195,0.0666666666666666
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A196,B46,A196-B46,6,195,0.0307692307692307
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A196,B52,A196-B52,3,195,0.0153846153846153
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A196,B84,A196-B84,31,195,0.1589743589743589
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A20,B126,A20-B126,10,195,0.0512820512820512
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A20,B6,A20-B6,10,195,0.0512820512820512
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A20,B84,A20-B84,4,195,0.0205128205128205
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A63,B117,A63-B117,2,195,0.0102564102564102
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A63,B79,A63-B79,3,195,0.0153846153846153
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A78,B101,A78-B101,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A78,B75,A78-B75,1,195,0.0051282051282051
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A81,B145,A81-B145,2,195,0.0102564102564102
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A81,B2,A81-B2,15,195,0.0769230769230769
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A81,B87,A81-B87,6,195,0.0307692307692307
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A83,B40,A83-B40,2,195,0.0102564102564102
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A90,B18,A90-B18,2,195,0.0102564102564102
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,WGS,C9,4,A90,B3,A90-B3,2,195,0.0102564102564102
